feedback_id,true_theme,true_polarity
LZ-00244,praise,positive
LZ-00245,praise,positive
LZ-00246,balance_loading,negative
LZ-00247,restaurant_network,neutral
LZ-00248,restaurant_network,neutral
LZ-00249,restaurant_network,neutral
LZ-00250,restaurant_network,neutral
LZ-00251,restaurant_network,neutral
LZ-00252,login,negative
LZ-00253,app_performance,negative
LZ-00254,map_search,negative
LZ-00255,map_search,negative
LZ-00256,wallet,neutral
LZ-00257,balance_expiry,negative
LZ-00258,balance_expiry,negative
LZ-00259,balance_expiry,negative
LZ-00260,balance_expiry,negative
LZ-00261,balance_expiry,negative
LZ-00262,balance_expiry,negative
LZ-00263,customer_support,negative
LZ-00264,customer_support,negative
LZ-00265,balance_loading,negative
LZ-00266,restaurant_network,neutral
LZ-00267,restaurant_network,neutral
LZ-00268,restaurant_network,neutral
LZ-00269,login,negative
LZ-00270,app_performance,negative
LZ-00271,map_search,negative
LZ-00272,map_search,negative
LZ-00273,dark_mode,neutral
LZ-00274,customer_support,negative
LZ-00275,refund,negative
LZ-00276,praise,positive
LZ-00277,praise,positive
LZ-00278,qr_payment,negative
LZ-00279,qr_payment,negative
LZ-00280,qr_payment,negative
LZ-00281,nfc_payment,negative
LZ-00282,balance_loading,negative
LZ-00283,restaurant_network,neutral
LZ-00284,restaurant_network,neutral
LZ-00285,restaurant_network,neutral
LZ-00286,restaurant_network,neutral
LZ-00287,app_performance,negative
LZ-00288,map_search,negative
LZ-00289,wallet,neutral
LZ-00290,wallet,neutral
LZ-00291,refund,negative
LZ-00292,praise,positive
LZ-00293,praise,positive
LZ-00294,praise,positive
LZ-00295,nfc_payment,negative
LZ-00296,balance_loading,negative
LZ-00297,login,negative
LZ-00298,app_performance,negative
LZ-00299,customer_support,negative
LZ-00300,praise,positive
LZ-00301,qr_payment,negative
LZ-00302,balance_loading,negative
LZ-00303,balance_loading,negative
LZ-00304,balance_loading,negative
LZ-00305,restaurant_network,neutral
LZ-00306,map_search,negative
LZ-00307,wallet,neutral
LZ-00308,praise,positive
LZ-00309,praise,positive
LZ-00310,praise,positive
LZ-00311,qr_payment,negative
LZ-00312,qr_payment,negative
LZ-00313,qr_payment,negative
LZ-00314,qr_payment,negative
LZ-00315,nfc_payment,negative
LZ-00316,balance_loading,negative
LZ-00317,balance_loading,negative
LZ-00318,restaurant_network,neutral
LZ-00319,restaurant_network,neutral
LZ-00320,restaurant_network,neutral
LZ-00321,app_performance,negative
LZ-00322,app_performance,negative
LZ-00323,app_performance,negative
LZ-00324,dark_mode,neutral
LZ-00325,customer_support,negative
LZ-00326,refund,negative
LZ-00327,praise,positive
LZ-00328,praise,positive
LZ-00329,qr_payment,negative
LZ-00330,qr_payment,negative
LZ-00331,qr_payment,negative
LZ-00332,qr_payment,negative
LZ-00333,qr_payment,negative
LZ-00334,qr_payment,negative
LZ-00335,qr_payment,negative
LZ-00336,nfc_payment,negative
LZ-00337,balance_loading,negative
LZ-00338,restaurant_network,neutral
LZ-00339,restaurant_network,neutral
LZ-00340,restaurant_network,neutral
LZ-00341,app_performance,negative
LZ-00342,app_performance,negative
LZ-00343,dark_mode,neutral
LZ-00344,dark_mode,neutral
LZ-00345,dark_mode,neutral
LZ-00346,praise,positive
LZ-00347,qr_payment,negative
LZ-00348,nfc_payment,negative
LZ-00349,nfc_payment,negative
LZ-00350,balance_loading,negative
LZ-00351,balance_loading,negative
LZ-00352,restaurant_network,neutral
LZ-00353,login,negative
LZ-00354,app_performance,negative
LZ-00355,app_performance,negative
LZ-00356,app_performance,negative
LZ-00357,app_performance,negative
LZ-00358,app_performance,negative
LZ-00359,app_performance,negative
LZ-00360,map_search,negative
LZ-00361,dark_mode,neutral
LZ-00362,wallet,neutral
LZ-00363,wallet,neutral
LZ-00364,wallet,neutral
LZ-00365,balance_expiry,negative
LZ-00366,balance_expiry,negative
LZ-00367,balance_expiry,negative
LZ-00368,refund,negative
LZ-00369,praise,positive
LZ-00370,praise,positive
LZ-00371,qr_payment,negative
LZ-00372,qr_payment,negative
LZ-00373,qr_payment,negative
LZ-00374,nfc_payment,negative
LZ-00375,restaurant_network,neutral
LZ-00376,restaurant_network,neutral
LZ-00377,app_performance,negative
LZ-00378,map_search,negative
LZ-00379,dark_mode,neutral
LZ-00380,wallet,neutral
LZ-00381,wallet,neutral
LZ-00382,wallet,neutral
LZ-00383,balance_expiry,negative
LZ-00384,balance_expiry,negative
LZ-00385,customer_support,negative
LZ-00386,customer_support,negative
LZ-00387,qr_payment,negative
LZ-00388,nfc_payment,negative
LZ-00389,restaurant_network,neutral
LZ-00390,app_performance,negative
LZ-00391,app_performance,negative
LZ-00392,dark_mode,neutral
LZ-00393,dark_mode,neutral
LZ-00394,customer_support,negative
LZ-00395,refund,negative
LZ-00396,praise,positive
LZ-00397,praise,positive
LZ-00398,qr_payment,negative
LZ-00399,balance_loading,negative
LZ-00400,restaurant_network,neutral
LZ-00401,restaurant_network,neutral
LZ-00402,restaurant_network,neutral
LZ-00403,login,negative
LZ-00404,login,negative
LZ-00405,dark_mode,neutral
LZ-00406,customer_support,negative
LZ-00407,praise,positive
LZ-00408,praise,positive
LZ-00409,praise,positive
LZ-00410,qr_payment,negative
LZ-00411,qr_payment,negative
LZ-00412,nfc_payment,negative
LZ-00413,login,negative
LZ-00414,dark_mode,neutral
LZ-00415,customer_support,negative
LZ-00416,customer_support,negative
LZ-00417,customer_support,negative
LZ-00418,praise,positive
LZ-00419,qr_payment,negative
LZ-00420,balance_loading,negative
LZ-00421,login,negative
LZ-00422,app_performance,negative
LZ-00423,customer_support,negative
LZ-00424,customer_support,negative
LZ-00425,customer_support,negative
LZ-00426,praise,positive
LZ-00427,praise,positive
LZ-00428,praise,positive
LZ-00429,qr_payment,negative
LZ-00430,qr_payment,negative
LZ-00431,qr_payment,negative
LZ-00432,nfc_payment,negative
LZ-00433,balance_loading,negative
LZ-00434,balance_loading,negative
LZ-00435,balance_loading,negative
LZ-00436,restaurant_network,neutral
LZ-00437,app_performance,negative
LZ-00438,app_performance,negative
LZ-00439,dark_mode,neutral
LZ-00440,dark_mode,neutral
LZ-00441,dark_mode,neutral
LZ-00442,dark_mode,neutral
LZ-00443,wallet,neutral
LZ-00444,wallet,neutral
LZ-00445,praise,positive
LZ-00446,praise,positive
LZ-00447,praise,positive
LZ-00448,qr_payment,negative
LZ-00449,nfc_payment,negative
LZ-00450,wallet,neutral
LZ-00451,wallet,neutral
LZ-00452,wallet,neutral
LZ-00453,balance_expiry,negative
LZ-00454,balance_expiry,negative
LZ-00455,customer_support,negative
LZ-00456,refund,negative
LZ-00457,praise,positive
LZ-00458,praise,positive
LZ-00459,praise,positive
LZ-00460,praise,positive
LZ-00461,praise,positive
LZ-00462,qr_payment,negative
LZ-00463,qr_payment,negative
LZ-00464,restaurant_network,neutral
LZ-00465,restaurant_network,neutral
LZ-00466,restaurant_network,neutral
LZ-00467,restaurant_network,neutral
LZ-00468,restaurant_network,neutral
LZ-00469,restaurant_network,neutral
LZ-00470,login,negative
LZ-00471,app_performance,negative
LZ-00472,app_performance,negative
LZ-00473,app_performance,negative
LZ-00474,map_search,negative
LZ-00475,map_search,negative
LZ-00476,dark_mode,neutral
LZ-00477,dark_mode,neutral
LZ-00478,dark_mode,neutral
LZ-00479,dark_mode,neutral
LZ-00480,customer_support,negative
LZ-00481,customer_support,negative
LZ-00482,praise,positive
LZ-00483,praise,positive
LZ-00484,praise,positive
LZ-00485,qr_payment,negative
LZ-00486,nfc_payment,negative
LZ-00487,nfc_payment,negative
LZ-00488,balance_loading,negative
LZ-00489,restaurant_network,neutral
LZ-00490,restaurant_network,neutral
LZ-00491,app_performance,negative
LZ-00492,app_performance,negative
LZ-00493,app_performance,negative
LZ-00494,map_search,negative
LZ-00495,map_search,negative
LZ-00496,wallet,neutral
LZ-00497,balance_expiry,negative
LZ-00498,customer_support,negative
LZ-00499,refund,negative
LZ-00500,praise,positive
LZ-00501,praise,positive
LZ-00502,qr_payment,negative
LZ-00503,login,negative
LZ-00504,dark_mode,neutral
LZ-00505,wallet,neutral
LZ-00506,balance_expiry,negative
LZ-00507,balance_expiry,negative
LZ-00508,praise,positive
LZ-00509,praise,positive
LZ-00510,qr_payment,negative
LZ-00511,nfc_payment,negative
LZ-00512,balance_loading,negative
LZ-00513,balance_loading,negative
LZ-00514,restaurant_network,neutral
LZ-00515,restaurant_network,neutral
LZ-00516,app_performance,negative
LZ-00517,map_search,negative
LZ-00518,dark_mode,neutral
LZ-00519,balance_expiry,negative
LZ-00520,balance_expiry,negative
LZ-00521,praise,positive
LZ-00522,praise,positive
LZ-00523,praise,positive
LZ-00524,qr_payment,negative
LZ-00525,nfc_payment,negative
LZ-00526,nfc_payment,negative
LZ-00527,balance_loading,negative
LZ-00528,balance_loading,negative
LZ-00529,balance_loading,negative
LZ-00530,restaurant_network,neutral
LZ-00531,app_performance,negative
LZ-00532,map_search,negative
LZ-00533,balance_expiry,negative
LZ-00534,customer_support,negative
LZ-00535,customer_support,negative
LZ-00536,refund,negative
LZ-00537,praise,positive
LZ-00538,praise,positive
LZ-00539,praise,positive
LZ-00540,praise,positive
LZ-00541,balance_loading,negative
LZ-00542,restaurant_network,neutral
LZ-00543,restaurant_network,neutral
LZ-00544,restaurant_network,neutral
LZ-00545,login,negative
LZ-00546,login,negative
LZ-00547,login,negative
LZ-00548,login,negative
LZ-00549,map_search,negative
LZ-00550,map_search,negative
LZ-00551,wallet,neutral
LZ-00552,wallet,neutral
LZ-00553,wallet,neutral
LZ-00554,customer_support,negative
LZ-00555,customer_support,negative
LZ-00556,praise,positive
LZ-00557,praise,positive
LZ-00558,qr_payment,negative
LZ-00559,nfc_payment,negative
LZ-00560,balance_loading,negative
LZ-00561,restaurant_network,neutral
LZ-00562,restaurant_network,neutral
LZ-00563,app_performance,negative
LZ-00564,map_search,negative
LZ-00565,dark_mode,neutral
LZ-00566,dark_mode,neutral
LZ-00567,dark_mode,neutral
LZ-00568,wallet,neutral
LZ-00569,customer_support,negative
LZ-00570,customer_support,negative
LZ-00571,customer_support,negative
LZ-00572,refund,negative
LZ-00573,praise,positive
LZ-00574,praise,positive
LZ-00575,balance_loading,negative
LZ-00576,balance_loading,negative
LZ-00577,restaurant_network,neutral
LZ-00578,restaurant_network,neutral
LZ-00579,restaurant_network,neutral
LZ-00580,app_performance,negative
LZ-00581,app_performance,negative
LZ-00582,app_performance,negative
LZ-00583,map_search,negative
LZ-00584,wallet,neutral
LZ-00585,wallet,neutral
LZ-00586,customer_support,negative
LZ-00587,praise,positive
LZ-00588,praise,positive
LZ-00589,praise,positive
LZ-00590,qr_payment,negative
LZ-00591,qr_payment,negative
LZ-00592,balance_loading,negative
LZ-00593,balance_loading,negative
LZ-00594,balance_loading,negative
LZ-00595,app_performance,negative
LZ-00596,app_performance,negative
LZ-00597,app_performance,negative
LZ-00598,app_performance,negative
LZ-00599,map_search,negative
LZ-00600,wallet,neutral
LZ-00601,balance_expiry,negative
LZ-00602,praise,positive
LZ-00603,qr_payment,negative
LZ-00604,restaurant_network,neutral
LZ-00605,login,negative
LZ-00606,app_performance,negative
LZ-00607,map_search,negative
LZ-00608,balance_expiry,negative
LZ-00609,balance_expiry,negative
LZ-00610,praise,positive
LZ-00611,restaurant_network,neutral
LZ-00612,restaurant_network,neutral
LZ-00613,app_performance,negative
LZ-00614,app_performance,negative
LZ-00615,app_performance,negative
LZ-00616,map_search,negative
LZ-00617,dark_mode,neutral
LZ-00618,praise,positive
LZ-00619,praise,positive
LZ-00620,praise,positive
LZ-00621,qr_payment,negative
LZ-00622,qr_payment,negative
LZ-00623,qr_payment,negative
LZ-00624,balance_loading,negative
LZ-00625,login,negative
LZ-00626,login,negative
LZ-00627,app_performance,negative
LZ-00628,app_performance,negative
LZ-00629,app_performance,negative
LZ-00630,map_search,negative
LZ-00631,balance_expiry,negative
LZ-00632,refund,negative
LZ-00633,qr_payment,negative
LZ-00634,qr_payment,negative
LZ-00635,app_performance,negative
LZ-00636,app_performance,negative
LZ-00637,map_search,negative
LZ-00638,dark_mode,neutral
LZ-00639,balance_expiry,negative
LZ-00640,praise,positive
LZ-00641,praise,positive
LZ-00642,praise,positive
LZ-00643,praise,positive
LZ-00644,qr_payment,negative
LZ-00645,qr_payment,negative
LZ-00646,qr_payment,negative
LZ-00647,qr_payment,negative
LZ-00648,nfc_payment,negative
LZ-00649,nfc_payment,negative
LZ-00650,balance_loading,negative
LZ-00651,restaurant_network,neutral
LZ-00652,restaurant_network,neutral
LZ-00653,login,negative
LZ-00654,app_performance,negative
LZ-00655,map_search,negative
LZ-00656,balance_expiry,negative
LZ-00657,praise,positive
LZ-00658,balance_loading,negative
LZ-00659,balance_loading,negative
LZ-00660,restaurant_network,neutral
LZ-00661,restaurant_network,neutral
LZ-00662,app_performance,negative
LZ-00663,app_performance,negative
LZ-00664,map_search,negative
LZ-00665,map_search,negative
LZ-00666,map_search,negative
LZ-00667,dark_mode,neutral
LZ-00668,balance_expiry,negative
LZ-00669,customer_support,negative
LZ-00670,praise,positive
LZ-00671,praise,positive
LZ-00672,nfc_payment,negative
LZ-00673,balance_loading,negative
LZ-00674,restaurant_network,neutral
LZ-00675,restaurant_network,neutral
LZ-00676,restaurant_network,neutral
LZ-00677,app_performance,negative
LZ-00678,app_performance,negative
LZ-00679,dark_mode,neutral
LZ-00680,balance_expiry,negative
LZ-00681,balance_expiry,negative
LZ-00682,balance_expiry,negative
LZ-00683,customer_support,negative
LZ-00684,refund,negative
LZ-00685,praise,positive
LZ-00686,qr_payment,negative
LZ-00687,qr_payment,negative
LZ-00688,balance_loading,negative
LZ-00689,restaurant_network,neutral
LZ-00690,restaurant_network,neutral
LZ-00691,app_performance,negative
LZ-00692,app_performance,negative
LZ-00693,app_performance,negative
LZ-00694,app_performance,negative
LZ-00695,map_search,negative
LZ-00696,map_search,negative
LZ-00697,dark_mode,neutral
LZ-00698,dark_mode,neutral
LZ-00699,wallet,neutral
LZ-00700,customer_support,negative
LZ-00701,praise,positive
LZ-00702,praise,positive
LZ-00703,qr_payment,negative
LZ-00704,qr_payment,negative
LZ-00705,balance_loading,negative
LZ-00706,map_search,negative
LZ-00707,dark_mode,neutral
LZ-00708,wallet,neutral
LZ-00709,balance_expiry,negative
LZ-00710,balance_expiry,negative
LZ-00711,qr_payment,negative
LZ-00712,qr_payment,negative
LZ-00713,balance_loading,negative
LZ-00714,balance_loading,negative
LZ-00715,balance_loading,negative
LZ-00716,restaurant_network,neutral
LZ-00717,restaurant_network,neutral
LZ-00718,app_performance,negative
LZ-00719,map_search,negative
LZ-00720,dark_mode,neutral
LZ-00721,dark_mode,neutral
LZ-00722,dark_mode,neutral
LZ-00723,wallet,neutral
LZ-00724,wallet,neutral
LZ-00725,balance_expiry,negative
LZ-00726,balance_expiry,negative
LZ-00727,praise,positive
LZ-00728,qr_payment,negative
LZ-00729,qr_payment,negative
LZ-00730,qr_payment,negative
LZ-00731,balance_loading,negative
LZ-00732,balance_loading,negative
LZ-00733,restaurant_network,neutral
LZ-00734,restaurant_network,neutral
LZ-00735,restaurant_network,neutral
LZ-00736,restaurant_network,neutral
LZ-00737,app_performance,negative
LZ-00738,map_search,negative
LZ-00739,dark_mode,neutral
LZ-00740,wallet,neutral
LZ-00741,refund,negative
LZ-00742,praise,positive
LZ-00743,praise,positive
LZ-00744,qr_payment,negative
LZ-00745,qr_payment,negative
LZ-00746,nfc_payment,negative
LZ-00747,restaurant_network,neutral
LZ-00748,restaurant_network,neutral
LZ-00749,app_performance,negative
LZ-00750,app_performance,negative
LZ-00751,app_performance,negative
LZ-00752,app_performance,negative
LZ-00753,map_search,negative
LZ-00754,map_search,negative
LZ-00755,dark_mode,neutral
LZ-00756,dark_mode,neutral
LZ-00757,wallet,neutral
LZ-00758,balance_expiry,negative
LZ-00759,customer_support,negative
LZ-00760,praise,positive
LZ-00761,restaurant_network,neutral
LZ-00762,restaurant_network,neutral
LZ-00763,login,negative
LZ-00764,map_search,negative
LZ-00765,map_search,negative
LZ-00766,map_search,negative
LZ-00767,dark_mode,neutral
LZ-00768,dark_mode,neutral
LZ-00769,qr_payment,negative
LZ-00770,restaurant_network,neutral
LZ-00771,restaurant_network,neutral
LZ-00772,restaurant_network,neutral
LZ-00773,login,negative
LZ-00774,app_performance,negative
LZ-00775,app_performance,negative
LZ-00776,map_search,negative
LZ-00777,map_search,negative
LZ-00778,customer_support,negative
LZ-00779,refund,negative
LZ-00780,praise,positive
LZ-00781,qr_payment,negative
LZ-00782,nfc_payment,negative
LZ-00783,nfc_payment,negative
LZ-00784,nfc_payment,negative
LZ-00785,app_performance,negative
LZ-00786,app_performance,negative
LZ-00787,app_performance,negative
LZ-00788,map_search,negative
LZ-00789,praise,positive
LZ-00790,qr_payment,negative
LZ-00791,qr_payment,negative
LZ-00792,qr_payment,negative
LZ-00793,balance_loading,negative
LZ-00794,balance_loading,negative
LZ-00795,balance_loading,negative
LZ-00796,restaurant_network,neutral
LZ-00797,map_search,negative
LZ-00798,map_search,negative
LZ-00799,dark_mode,neutral
LZ-00800,wallet,neutral
LZ-00801,wallet,neutral
LZ-00802,praise,positive
LZ-00803,nfc_payment,negative
LZ-00804,nfc_payment,negative
LZ-00805,balance_loading,negative
LZ-00806,balance_loading,negative
LZ-00807,balance_loading,negative
LZ-00808,restaurant_network,neutral
LZ-00809,app_performance,negative
LZ-00810,app_performance,negative
LZ-00811,app_performance,negative
LZ-00812,dark_mode,neutral
LZ-00813,dark_mode,neutral
LZ-00814,dark_mode,neutral
LZ-00815,dark_mode,neutral
LZ-00816,wallet,neutral
LZ-00817,refund,negative
LZ-00818,refund,negative
LZ-00819,praise,positive
LZ-00820,praise,positive
LZ-00821,praise,positive
LZ-00822,nfc_payment,negative
LZ-00823,nfc_payment,negative
LZ-00824,balance_loading,negative
LZ-00825,restaurant_network,neutral
LZ-00826,restaurant_network,neutral
LZ-00827,restaurant_network,neutral
LZ-00828,login,negative
LZ-00829,app_performance,negative
LZ-00830,dark_mode,neutral
LZ-00831,dark_mode,neutral
LZ-00832,wallet,neutral
LZ-00833,balance_expiry,negative
LZ-00834,balance_expiry,negative
LZ-00835,balance_expiry,negative
LZ-00836,refund,negative
LZ-00837,refund,negative
LZ-00838,praise,positive
LZ-00839,praise,positive
LZ-00840,qr_payment,negative
LZ-00841,nfc_payment,negative
LZ-00842,balance_loading,negative
LZ-00843,balance_loading,negative
LZ-00844,login,negative
LZ-00845,login,negative
LZ-00846,login,negative
LZ-00847,app_performance,negative
LZ-00848,customer_support,negative
LZ-00849,praise,positive
LZ-00850,praise,positive
LZ-00851,praise,positive
LZ-00852,qr_payment,negative
LZ-00853,nfc_payment,negative
LZ-00854,balance_loading,negative
LZ-00855,balance_loading,negative
LZ-00856,restaurant_network,neutral
LZ-00857,restaurant_network,neutral
LZ-00858,app_performance,negative
LZ-00859,map_search,negative
LZ-00860,map_search,negative
LZ-00861,dark_mode,neutral
LZ-00862,dark_mode,neutral
LZ-00863,dark_mode,neutral
LZ-00864,wallet,neutral
LZ-00865,balance_expiry,negative
LZ-00866,balance_expiry,negative
LZ-00867,customer_support,negative
LZ-00868,customer_support,negative
LZ-00869,praise,positive
LZ-00870,qr_payment,negative
LZ-00871,app_performance,negative
LZ-00872,app_performance,negative
LZ-00873,map_search,negative
LZ-00874,dark_mode,neutral
LZ-00875,dark_mode,neutral
LZ-00876,refund,negative
LZ-00877,praise,positive
LZ-00878,praise,positive
LZ-00879,praise,positive
LZ-00880,praise,positive
LZ-00881,qr_payment,negative
LZ-00882,qr_payment,negative
LZ-00883,login,negative
LZ-00884,login,negative
LZ-00885,app_performance,negative
LZ-00886,wallet,neutral
LZ-00887,wallet,neutral
LZ-00888,balance_expiry,negative
LZ-00889,qr_payment,negative
LZ-00890,balance_loading,negative
LZ-00891,login,negative
LZ-00892,login,negative
LZ-00893,login,negative
LZ-00894,app_performance,negative
LZ-00895,wallet,neutral
LZ-00896,wallet,neutral
LZ-00897,wallet,neutral
LZ-00898,balance_expiry,negative
LZ-00899,praise,positive
LZ-00900,praise,positive
LZ-00901,qr_payment,negative
LZ-00902,balance_loading,negative
LZ-00903,balance_loading,negative
