rank,theme_id,name,kind,score,c_reach,c_revenue,c_severity,c_momentum,mentions,mentions_all_time,accounts,mrr_weighted,arr_exposed,mean_sentiment,negative_share,status,lift,q_value,vote_rank,headline
16.0,T18,Please add an api endpoint for exporting events,feature_request,27.145872149333677,0.3333333333333333,0.4472755451188069,0.15789473684210525,0.0,19,59,18,6898.327777777778,305808.0,0.13415525462169572,0.15789473684210525,stable,1.6344827586206896,0.9008620496532804,14.0,Please add an api endpoint for exporting events
17.0,T19,Every calendar change triggers an email to the whole team,ux,22.92837252289275,0.31426968052735443,0.21633230027739686,0.375,0.0,16,53,16,1613.75,74700.0,-0.10562363948114929,0.375,stable,1.2171680117388113,1.0,16.0,Every calendar change triggers an email to the whole team
18.0,T25,Please add SCIM provisioning so IT can manage users from…,feature_request,19.187974278067625,0.17568209223157663,0.42274062777937743,0.0,0.0,6,17,5,6162.280952380952,224736.0,0.0,0.0,stable,0.5448275862068965,0.9216016527263995,19.0,Please add SCIM provisioning so IT can manage users from OneLogin
19.0,T20,Our whole company switched and nobody looked back,ux,13.40932959851584,0.32394177193585,0.15173672286055973,0.0,0.0,17,49,17,793.9166666666667,36636.0,0.35840481311646766,0.0,stable,1.056298381421534,1.0,15.0,Our whole company switched and nobody looked back
,T13,Super clean interface and very intuitive,praise,,0.0,0.0,0.0,0.0,28,75,28,4646.677777777778,256056.0,0.7943178622205594,0.0,stable,1.1098339719029373,1.0,,Super clean interface and very intuitive
,T12,The team availability view is fantastic,praise,,0.0,0.0,0.0,0.0,24,81,22,5556.333333333333,139248.0,0.7935791202558843,0.0,stable,1.0,1.0,,The team availability view is fantastic
,T14,Export to Excel would save me hours every month,praise,,0.0,0.0,0.041666666666666664,0.0,24,72,22,3822.447619047619,256704.0,0.41788711631075187,0.041666666666666664,stable,1.3843979649519502,0.9008620496532804,,Export to Excel would save me hours every month
,T16,Best scheduling tool we have used,praise,,0.0,0.0,0.041666666666666664,0.0,24,67,23,4399.133333333333,300624.0,0.5507396008141833,0.041666666666666664,stable,1.0619520748100526,1.0,,Best scheduling tool we have used
,T21,Love how easy it is to find a time that works for everyone,praise,,0.0,0.0,0.0,0.0,16,46,15,782.0555555555555,22092.0,0.8405287663495624,0.0,stable,0.9080459770114941,1.0,,Love how easy it is to find a time that works for everyone
,T22,The booking links alone are worth it,praise,,0.0,0.0,0.0,0.0,16,44,16,422.35,16260.0,0.5608788517836512,0.0,stable,1.3271441202475684,0.9905361858756434,,The booking links alone are worth it
